num,kanji,radicals,meaning,concept,subconcept
1,亜,｜口,sub-,,
2,哀,亠口衣,sadness or pity,Emotions_and_Senses_(感),Emotions_(情)
3,挨,厶矢扌,push open,,
4,愛,冖夂心爪,love,Emotions_and_Senses_(感),Emotions_(情)
5,曖,冖夂心日爪,not clear,,
6,悪,｜口心,bad,Emotions_and_Senses_(感),Judgment_(評)
7,握,厶土尸至扌,grip,,
8,圧,厂土,pressure,,
9,扱,扌及,handle,,
10,宛,卩夕宀,allocate,,
11,嵐,山風,storm,Nature,Weather
12,安,女宀,cheap,Human_activities,Money_(銭)_and_Commerce_(商)
13,案,女宀木,plan,,
14,暗,日立音,dark,Nature,Weather
15,以,｜丶人,by means of,,
16,衣,亠,garment,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
17,位,立亻,rank,,
18,囲,囗井,surround,,
19,医,匚矢,doctor or medicine,Body_(身),Health_(体)
20,依,亠衣亻,reliant,,
21,委,女禾,committee,,
22,威,丿厂女戈,intimidate,,
23,為,丿灬,do,,
24,畏,田衣,apprehension,Emotions_and_Senses_(感),Emotions_(情)
25,胃,月田,stomach,Body_(身),Torso_and_organs
26,尉,寸尸示,military officer,,
27,異,八田井,uncommon,,
28,移,夕禾,shift,,
29,萎,女禾艹,wither,,
30,偉,口韋亻,admirable,,
31,椅,亅口大木,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
32,彙,冖彐木田彑,same kind,,
33,意,心日立音,idea,,
34,違,口韋辶,differ,,
35,維,糸隹,fibre,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
36,慰,寸尸心示,consolation,,
37,遺,口貝辶,bequeath,,
38,緯,口糸韋,horizontal,,
39,域,口土戈,range,,
40,育,亠厶月,nurture,,
41,一,一,1,Numbers_(数),
42,壱,冖匕士,one (falsification prevention),,
43,逸,丿儿勹辶免,deviate,,
44,茨,冫欠艹,brier,Nature,Plants_(植)_and_Trees_(樹)
45,芋,干艹,potato,Food_(食)_and_Drink_(飲),
46,引,｜弓,pull,,
47,印,｜卩,mark,,
48,因,囗大,cause,,
49,咽,口囗大,throat,Body_(身),Head_(頭)_and_Neck_(首)
50,姻,囗大女,matrimony,People_(人),Family_(家_/_族)
