kanji,meaning,h2,h3,h4
黒,black,Physical_Attributes_and_Properties,Colours_(色),
青,blue,Physical_Attributes_and_Properties,Colours_(色),
紅,crimson,Physical_Attributes_and_Properties,Colours_(色),
棕,brown,Physical_Attributes_and_Properties,Colours_(色),
褐,brown,Physical_Attributes_and_Properties,Colours_(色),
紺,dark blue,Physical_Attributes_and_Properties,Colours_(色),
金,gold,Physical_Attributes_and_Properties,Colours_(色),
緑,green,Physical_Attributes_and_Properties,Colours_(色),
灰,grey,Physical_Attributes_and_Properties,Colours_(色),
藍,indigo,Physical_Attributes_and_Properties,Colours_(色),
橙,orange,Physical_Attributes_and_Properties,Colours_(色),
粉,pink,Physical_Attributes_and_Properties,Colours_(色),
赤,red,Physical_Attributes_and_Properties,Colours_(色),
緋,scarlet,Physical_Attributes_and_Properties,Colours_(色),
銀,silver,Physical_Attributes_and_Properties,Colours_(色),
朱,vermilion,Physical_Attributes_and_Properties,Colours_(色),
紫,violet,Physical_Attributes_and_Properties,Colours_(色),
白,white,Physical_Attributes_and_Properties,Colours_(色),
黄,yellow,Physical_Attributes_and_Properties,Colours_(色),
彩,brightly coloured,Physical_Attributes_and_Properties,Colours_(色),
角,angle,Physical_Attributes_and_Properties,Form_and_Shape_(形),
弧,arc,Physical_Attributes_and_Properties,Form_and_Shape_(形),
玉,ball,Physical_Attributes_and_Properties,Form_and_Shape_(形),
枠,"border, frame",Physical_Attributes_and_Properties,Form_and_Shape_(形),
境,boundary,Physical_Attributes_and_Properties,Form_and_Shape_(形),
円,circle,Physical_Attributes_and_Properties,Form_and_Shape_(形),
丸,circular,Physical_Attributes_and_Properties,Form_and_Shape_(形),
凹,concave,Physical_Attributes_and_Properties,Form_and_Shape_(形),
凸,convex,Physical_Attributes_and_Properties,Form_and_Shape_(形),
隅,corner,Physical_Attributes_and_Properties,Form_and_Shape_(形),
曲,curve,Physical_Attributes_and_Properties,Form_and_Shape_(形),
柄,"design, pattern",Physical_Attributes_and_Properties,Form_and_Shape_(形),
斜,diagonal,Physical_Attributes_and_Properties,Form_and_Shape_(形),
縁,edge or border,Physical_Attributes_and_Properties,Form_and_Shape_(形),
端,edge or border,Physical_Attributes_and_Properties,Form_and_Shape_(形),
端,"end, tip",Physical_Attributes_and_Properties,Form_and_Shape_(形),
姿,figure,Physical_Attributes_and_Properties,Form_and_Shape_(形),
巨,huge,Physical_Attributes_and_Properties,Form_and_Shape_(形),
大,large,Physical_Attributes_and_Properties,Form_and_Shape_(形),
線,line,Physical_Attributes_and_Properties,Form_and_Shape_(形),
列,"line, row",Physical_Attributes_and_Properties,Form_and_Shape_(形),
