num,kanji,meanings,grade,jlpt,readings,unicode
1,亜,Asia:rank next:come after:-ous,8,1,つ.ぐ:ア,4e9c
2,哀,pathetic:grief:sorrow:pathos:pity:sympathize,8,1,あわ.れ:あわ.れむ:かな.しい:アイ,54c0
3,挨,approach:draw near:push open,8,,ひら.く:アイ,6328
4,愛,love:affection:favourite,4,2,いと.しい:かな.しい:め.でる:お.しむ:まな:アイ,611b
5,曖,dark:not clear,8,,くら.い:アイ,66d6
6,悪,bad:vice:rascal:false:evil:wrong,3,3,わる.い:わる-:あ.し:にく.い:-にく.い:ああ:いずくに:いずくんぞ:にく.む:アク:オ,60aa
7,握,grip:hold:mould sushi:bribe,8,1,にぎ.る:アク,63e1
8,圧,pressure:push:overwhelm:oppress:dominate,5,2,お.す:へ.す:おさ.える:お.さえる:アツ:エン:オウ,5727
9,扱,handle:entertain:thresh:strip,8,1,あつか.い:あつか.う:あつか.る:こ.く:ソウ:キュウ,6271
10,宛,address:just like:fortunately,8,,あ.てる:-あて:-づつ:あたか.も:エン,5b9b
11,嵐,storm:tempest,8,1,あらし:ラン,5d50
12,安,relax:cheap:low:quiet:rested:contented:peaceful,3,4,やす.い:やす.まる:やす:やす.らか:アン,5b89
13,案,plan:suggestion:draft:ponder:fear:proposition:idea:expectation:worry:table:bench,4,2,つくえ:アン,6848
14,暗,darkness:disappear:shade:informal:grow dark:be blinded,3,3,くら.い:くら.む:くれ.る:アン,6697
15,以,by means of:because:in view of:compared with,4,3,もっ.て:イ,4ee5
16,衣,garment:clothes:dressing,4,2,ころも:きぬ:-ぎ:イ:エ,8863
17,位,rank:grade:throne:crown:about:some,4,2,くらい:ぐらい:イ,4f4d
18,囲,surround:besiege:store:paling:enclosure:encircle:preserve:keep,4,2,かこ.む:かこ.う:かこ.い:イ,56f2
19,医,doctor:medicine,3,3,い.やす:い.する:くすし:イ,533b
20,依,reliant:depend on:consequently:therefore:due to,8,2,よ.る:イ:エ,4f9d
21,委,committee:entrust to:leave to:devote:discard,3,2,ゆだ.ねる:イ,59d4
22,威,intimidate:dignity:majesty:menace:threaten,8,1,おど.す:おど.し:おど.かす:イ,5a01
23,為,do:change:make:benefit:welfare:be of use:reach to:try:practice:cost:serve as:good:advantage:as a result of,8,1,ため:な.る:な.す:す.る:たり:つく.る:なり:イ,70ba
24,畏,fear:majestic:graciously:be apprehensive,8,,おそ.れる:かしこま.る:かしこ:かしこ.し:イ,754f
25,胃,stomach:paunch:crop:craw,4,2,イ,80c3
26,尉,military officer:jailer:old man:rank,8,1,イ:ジョウ,5c09
27,異,uncommon:different:queerness:strangeness:wonderful:curious:unusual,6,2,こと:こと.なる:け:イ,7570
28,移,shift:move:change:drift:catch cold:catch fire:pass into,5,2,うつ.る:うつ.す:イ,79fb
29,萎,wither:droop:lame,8,,な:しお.れる:しな.びる:しぼ.む:な.える:イ,840e
30,偉,admirable:greatness:remarkable:conceited:famous:excellent,8,2,えら.い:イ,5049
31,椅,chair,8,,イ,6905
32,彙,same kind:collect:classify:category:hedgehog,8,,はりねずみ:イ,5f59
33,意,idea:mind:heart:taste:thought:desire:care:liking,3,3,イ,610f
34,違,difference:differ,8,2,ちが.う:ちが.い:ちが.える:-ちが.える:たが.う:たが.える:イ,9055
35,維,fiber:tie:rope,8,1,イ,7dad
36,慰,consolation:amusement:seduce:cheer:make sport of:comfort:console,8,1,なぐさ.める:なぐさ.む:イ,6170
37,遺,bequeath:leave behind:reserve,6,1,のこ.す:イ:ユイ,907a
38,緯,horizontal:woof:left & right:(parallels of) latitude:prediction,8,1,よこいと:ぬき:イ,7def
39,域,range:region:limits:stage:level,6,2,イキ,57df
40,育,bring up:grow up:raise:rear,3,2,そだ.つ:そだ.ち:そだ.てる:はぐく.む:イク,80b2
41,一,one:one radical (no.1),1,4,ひと-:ひと.つ:イチ:イツ,4e00
42,壱,one (in documents),8,1,ひとつ:イチ:イツ,58f1
43,逸,deviate:idleness:leisure:miss the mark:evade:elude:parry:diverge,8,1,そ.れる:そ.らす:はぐ.れる:イツ,9038
44,茨,briar:thorn,8,,いばら:かや:くさぶき:シ:ジ,8328
45,芋,potato,8,1,いも:ウ,828b
46,引,pull:tug:jerk:admit:install:quote:refer to,2,3,ひ.く:ひ.き:ひ.き-:-び.き:ひ.ける:イン,5f15
47,印,stamp:seal:mark:imprint:symbol:emblem:trademark:evidence:souvenir:India,4,2,しるし:-じるし:しる.す:イン,5370
48,因,cause:factor:be associated with:depend on:be limited to,5,2,よ.る:ちな.む:イン,56e0
49,咽,throat:choked:smothered:stuffy,8,,むせ.ぶ:むせ.る:のど:の.む:イン:エン:エツ,54bd
50,姻,matrimony:marry,8,1,イン,59fb
51,員,employee:member:number:the one in charge,3,3,イン,54e1
52,院,Inst.:institution:temple:mansion:school,3,3,イン,9662
53,淫,lewdness:licentiousness,8,,ひた.す:ほしいまま:みだ.ら:みだ.れる:みだり:イン,6deb
54,陰,shade:yin:negative:sex organs:secret:shadow,8,1,かげ:かげ.る:イン,9670
55,飲,drink:smoke:take,3,4,の.む:-の.み:イン:オン,98f2
56,隠,conceal:hide:cover,8,1,かく.す:かく.し:かく.れる:かか.す:よ.る:イン:オン,96a0
57,韻,rhyme:elegance:tone,8,1,イン,97fb
58,右,right,1,4,みぎ:ウ:ユウ,53f3
59,宇,eaves:roof:house:heaven,6,2,ウ,5b87
60,羽,feathers:counter for bird: counter for rabbit,2,2,は:わ:はね:ウ,7fbd
61,雨,rain,1,4,あめ:あま-:-さめ:ウ,96e8
62,唄,song:ballad,8,1,うた:うた.う:バイ,5504
63,鬱,gloom:depression:melancholy:luxuriant,8,,うっ.する:ふさ.ぐ:しげ.る:ウツ,9b31
64,畝,furrow:thirty tsubo:ridge:rib,8,1,せ:うね:ボウ:ホ:モ:ム,755d
