kanji,meaning,theme,subtheme
黒,black,Physical_Attributes_and_Properties,Colours
青,blue,Physical_Attributes_and_Properties,Colours
紅,crimson,Physical_Attributes_and_Properties,Colours
棕,brown,Physical_Attributes_and_Properties,Colours
褐,brown,Physical_Attributes_and_Properties,Colours
紺,dark blue,Physical_Attributes_and_Properties,Colours
金,gold,Physical_Attributes_and_Properties,Colours
緑,green,Physical_Attributes_and_Properties,Colours
灰,grey,Physical_Attributes_and_Properties,Colours
藍,indigo,Physical_Attributes_and_Properties,Colours
橙,orange,Physical_Attributes_and_Properties,Colours
粉,pink,Physical_Attributes_and_Properties,Colours
赤,red,Physical_Attributes_and_Properties,Colours
緋,scarlet,Physical_Attributes_and_Properties,Colours
銀,silver,Physical_Attributes_and_Properties,Colours
朱,vermilion,Physical_Attributes_and_Properties,Colours
紫,violet,Physical_Attributes_and_Properties,Colours
白,white,Physical_Attributes_and_Properties,Colours
黄,yellow,Physical_Attributes_and_Properties,Colours
彩,brightly coloured,Physical_Attributes_and_Properties,Colours
角,angle,Physical_Attributes_and_Properties,Form_and_Shape
弧,arc,Physical_Attributes_and_Properties,Form_and_Shape
玉,ball,Physical_Attributes_and_Properties,Form_and_Shape
枠,borderframe,Physical_Attributes_and_Properties,Form_and_Shape
境,boundary,Physical_Attributes_and_Properties,Form_and_Shape
円,circle,Physical_Attributes_and_Properties,Form_and_Shape
丸,circular,Physical_Attributes_and_Properties,Form_and_Shape
凹,concave,Physical_Attributes_and_Properties,Form_and_Shape
凸,convex,Physical_Attributes_and_Properties,Form_and_Shape
隅,corner,Physical_Attributes_and_Properties,Form_and_Shape
曲,curve,Physical_Attributes_and_Properties,Form_and_Shape
柄,designpattern,Physical_Attributes_and_Properties,Form_and_Shape
斜,diagonal,Physical_Attributes_and_Properties,Form_and_Shape
縁,edge or border,Physical_Attributes_and_Properties,Form_and_Shape
端,edge or border,Physical_Attributes_and_Properties,Form_and_Shape
端,endtip,Physical_Attributes_and_Properties,Form_and_Shape
姿,figure,Physical_Attributes_and_Properties,Form_and_Shape
巨,huge,Physical_Attributes_and_Properties,Form_and_Shape
大,large,Physical_Attributes_and_Properties,Form_and_Shape
線,line,Physical_Attributes_and_Properties,Form_and_Shape
列,linerow,Physical_Attributes_and_Properties,Form_and_Shape
並,line up,Physical_Attributes_and_Properties,Form_and_Shape
長,long,Physical_Attributes_and_Properties,Form_and_Shape
微,minute,Physical_Attributes_and_Properties,Form_and_Shape
狭,narrow,Physical_Attributes_and_Properties,Form_and_Shape
模,pattern,Physical_Attributes_and_Properties,Form_and_Shape
周,perimeter,Physical_Attributes_and_Properties,Form_and_Shape
環,ringsurround,Physical_Attributes_and_Properties,Form_and_Shape
輪,ringsurround,Physical_Attributes_and_Properties,Form_and_Shape
短,short,Physical_Attributes_and_Properties,Form_and_Shape
側,side,Physical_Attributes_and_Properties,Form_and_Shape
小,small,Physical_Attributes_and_Properties,Form_and_Shape
球,sphere,Physical_Attributes_and_Properties,Form_and_Shape
圏,sphere,Physical_Attributes_and_Properties,Form_and_Shape
高,tall,Physical_Attributes_and_Properties,Form_and_Shape
広,wide,Physical_Attributes_and_Properties,Form_and_Shape
幅,width,Physical_Attributes_and_Properties,Form_and_Shape
浄,clean,Physical_Attributes_and_Properties,Miscellaneous_properties
冷,cold,Physical_Attributes_and_Properties,Miscellaneous_properties
寒,cold,Physical_Attributes_and_Properties,Miscellaneous_properties
濃,concentrated,Physical_Attributes_and_Properties,Miscellaneous_properties
湿,damp,Physical_Attributes_and_Properties,Miscellaneous_properties
深,deep,Physical_Attributes_and_Properties,Miscellaneous_properties
微,delicate,Physical_Attributes_and_Properties,Miscellaneous_properties
