kanji,num,meanings,radicals,kanji_in_theme_meaning,theme,subtheme
亜,1,Asia:rank next:come after:-ous,｜:口,,,
哀,2,pathetic:grief:sorrow:pathos:pity:sympathize,亠:口:衣,sadness or pity,Emotions_and_Senses,Emotions
挨,3,approach:draw near:push open,厶:矢:扌,,,
愛,4,love:affection:favourite,冖:夂:心:爪,love,Emotions_and_Senses,Emotions
曖,5,dark:not clear,冖:夂:心:日:爪,,,
悪,6,bad:vice:rascal:false:evil:wrong,｜:口:心,bad,Emotions_and_Senses,Judgment
握,7,grip:hold:mould sushi:bribe,厶:土:尸:至:扌,,,
圧,8,pressure:push:overwhelm:oppress:dominate,厂:土,,,
扱,9,handle:entertain:thresh:strip,扌:及,,,
宛,10,address:just like:fortunately,卩:夕:宀,,,
嵐,11,storm:tempest,山:風,storm,Nature,Weather
安,12,relax:cheap:low:quiet:rested:contented:peaceful,女:宀,cheap,Human_activities,Money_and_Commerce
案,13,plan:suggestion:draft:ponder:fear:proposition:idea:expectation:worry:table:bench,女:宀:木,,,
暗,14,darkness:disappear:shade:informal:grow dark:be blinded,日:立:音,dark,Nature,Weather
以,15,by means of:because:in view of:compared with,｜:丶:人,,,
衣,16,garment:clothes:dressing,亠,garment,Artificial_Structures_and_Products,Clothing_and_Textiles
位,17,rank:grade:throne:crown:about:some,立:亻,,,
囲,18,surround:besiege:store:paling:enclosure:encircle:preserve:keep,囗:井,,,
医,19,doctor:medicine,匚:矢,doctor or medicine,Body,Health
依,20,reliant:depend on:consequently:therefore:due to,亠:衣:亻,,,
委,21,committee:entrust to:leave to:devote:discard,女:禾,,,
威,22,intimidate:dignity:majesty:menace:threaten,丿:厂:女:戈,,,
為,23,do:change:make:benefit:welfare:be of use:reach to:try:practice:cost:serve as:good:advantage:as a result of,丿:灬,,,
畏,24,fear:majestic:graciously:be apprehensive,田:衣,apprehension,Emotions_and_Senses,Emotions
胃,25,stomach:paunch:crop:craw,月:田,stomach,Body,Torso_and_organs
尉,26,military officer:jailer:old man:rank,寸:尸:示,,,
異,27,uncommon:different:queerness:strangeness:wonderful:curious:unusual,八:田:井,,,
移,28,shift:move:change:drift:catch cold:catch fire:pass into,夕:禾,,,
萎,29,wither:droop:lame,女:禾:艹,,,
偉,30,admirable:greatness:remarkable:conceited:famous:excellent,口:韋:亻,,,
椅,31,chair,亅:口:大:木,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
彙,32,same kind:collect:classify:category:hedgehog,冖:彐:木:田:彑,,,
意,33,idea:mind:heart:taste:thought:desire:care:liking,心:日:立:音,,,
違,34,difference:differ,口:韋:辶,,,
維,35,fiber:tie:rope,糸:隹,fibre,Artificial_Structures_and_Products,Clothing_and_Textiles
慰,36,consolation:amusement:seduce:cheer:make sport of:comfort:console,寸:尸:心:示,,,
遺,37,bequeath:leave behind:reserve,口:貝:辶,,,
緯,38,horizontal:woof:left & right:(parallels of) latitude:prediction,口:糸:韋,,,
域,39,range:region:limits:stage:level,口:土:戈,,,
育,40,bring up:grow up:raise:rear,亠:厶:月,,,
一,41,one:one radical (no.1),,1,Numbers,
壱,42,one (in documents),冖:匕:士,,,
逸,43,deviate:idleness:leisure:miss the mark:evade:elude:parry:diverge,丿:儿:勹:辶:免,,,
茨,44,briar:thorn,冫:欠:艹,brier,Nature,Plants_and_Trees
芋,45,potato,干:艹,potato,Food_and_Drink,
引,46,pull:tug:jerk:admit:install:quote:refer to,｜:弓,,,
印,47,stamp:seal:mark:imprint:symbol:emblem:trademark:evidence:souvenir:India,｜:卩,,,
因,48,cause:factor:be associated with:depend on:be limited to,囗:大,,,
咽,49,throat:choked:smothered:stuffy,口:囗:大,throat,Body,Head_and_Neck
姻,50,matrimony:marry,囗:大:女,matrimony,People,Family
員,51,employee:member:number:the one in charge,口:貝,,,
院,52,Inst.:institution:temple:mansion:school,二:儿:宀:阝.:元,,,
淫,53,lewdness:licentiousness,丿:士:爪:玉:氵,,,
陰,54,shade:yin:negative:sex organs:secret:shadow,二:厶:个:阝.,Yin principle,Human_activities,Religion_and_the_Supernatural_World
飲,55,drink:smoke:take,欠:食,,,
隠,56,conceal:hide:cover,丿:彐:心:尚:阝.,,,
韻,57,rhyme:elegance:tone,口:日:立:貝:音,,,
右,58,right,丿:口,right,Directions_and_Spatial_Relationships,
宇,59,eaves:roof:house:heaven,亅:宀:干,universe,Nature,Sky
羽,60,feathers:counter for bird: counter for rabbit,冫,feather,Nature,Animals
雨,61,rain,,rain,Nature,Weather
唄,62,song:ballad,口:貝,song,Human_activities,Culture
鬱,63,gloom:depression:melancholy:luxuriant,冖:凵:匕:彡:木:缶,melancholy,Emotions_and_Senses,Emotions
畝,64,furrow:thirty tsubo:ridge:rib,亠:田:久,30 tsubo (99 m2),Numbers,Units_of_Measurement
浦,65,bay:creek:inlet:gulf:beach:seacoast,丶:十:用:氵,beach,Nature,Land_and_Topography
運,66,carry:luck:destiny:fate:lot:transport:progress:advance,冖:車:辶,,,
雲,67,cloud,二:厶:雨,cloud,Nature,Weather
永,68,eternity:long:lengthy,丶:水,eternity,Time,
泳,69,swim,丶:水:氵,swim,Body,Actions
英,70,England:English:hero:outstanding:calyx,丿:大:艹,,,
映,71,reflect:reflection:projection,丿:大:日,,,
栄,72,flourish:prosperity:honor:glory:splendor,冖:木:尚,,,
営,73,occupation:camp:perform:build:conduct (business),冖:口:尚,management,Human_activities,Money_and_Commerce
詠,74,recitation:poem:song:composing,丶:水:言,recite poetry,Human_activities,Culture
影,75,shadow:silhouette:phantom,亠:口:小:彡:日,shadow,Nature,Weather
鋭,76,pointed:sharpness:edge:weapon:sharp:violent,儿:口:金:个:丷,sharp,Physical_Attributes_and_Properties,Miscellaneous_properties
衛,77,defense:protection,口:彳:行:韋,,,
易,78,easy:ready to:simple:fortune-telling:divination,勹:日:勿,,,
疫,79,epidemic,殳:疒,epidemic,Body,Health
益,80,benefit:gain:profit:advantage,八:皿:丷,,,
液,81,fluid:liquid:juice:sap:secretion,亠:夕:攴:亻:氵,liquid,Physical_Attributes_and_Properties,Miscellaneous_properties
駅,82,station,尸:馬,,,
悦,83,ecstasy:joy:rapture,儿:口:丷:忄,ecstasy,Emotions_and_Senses,Emotions
越,84,surpass:cross over:move to:exceed:Vietnam,土:戈:走,to pass or go beyond,Directions_and_Spatial_Relationships,Movement
謁,85,audience:audience (with king),勹:匕:日:言,,,
閲,86,review:inspection:revision,儿:口:門:丷,,,
円,87,circle:yen:round,亠:冂,yen,Human_activities,Money_and_Commerce
延,88,prolong:stretching,廴:止,,,
沿,89,run alongside:follow along:run along:lie along,八:口:氵,,,
炎,90,inflammation:flame:blaze,火,blaze or flame,Nature,Weather
怨,91,grudge:show resentment:be jealous,卩:夕:心,resentment,Emotions_and_Senses,Emotions
宴,92,banquet:feast:party,女:宀:日,,,
媛,93,beautiful woman:princess,丿:又:女:爪,princess,People,Roles_and_status
援,94,abet:help:save,丿:又:爪:扌,,,
園,95,park:garden:yard:farm,口:囗:土:衣,,,
煙,96,smoke,土:火:襾,fumes or smoke,Nature,Weather
猿,97,monkey,口:土:衣:犭,monkey,Nature,Animals
遠,98,distant:far,口:土:衣:辶,distant,Directions_and_Spatial_Relationships,
鉛,99,lead,八:口:金:丷,lead,Nature,Natural_Substances
塩,100,salt,口:土:皿,salt,Nature,Natural_Substances
演,101,performance:act:play:render:stage,八:宀:田:氵,,,
縁,102,affinity:relation:connection:edge:border:verge:brink,彐:糸:豕,edge or border,Physical_Attributes_and_Properties,Form_and_Shape
艶,103,glossy:luster:glaze:polish:charm:colorful:captivating,｜:勹:口:日:色:豆:丷,glossy,Physical_Attributes_and_Properties,Miscellaneous_properties
汚,104,dirty:pollute:disgrace:rape:defile,氵,dirty,Physical_Attributes_and_Properties,Miscellaneous_properties
王,105,king:rule:magnate,,king,People,Roles_and_status
凹,106,concave:hollow:sunken,凵,concave,Physical_Attributes_and_Properties,Form_and_Shape
央,107,center:middle,丿:冖:大,Centre,Directions_and_Spatial_Relationships,
応,108,apply:answer:yes:OK:reply:accept,广:心,,,
往,109,journey:travel:chase away:let go:going:before:formerly,丶:彳:玉,to go to,Directions_and_Spatial_Relationships,Movement
押,110,push:stop:check:subdue:attach:seize:weight:shove:press:seal:do in spite of,｜:日:田:扌,,,
旺,111,flourishing:successful:beautiful:vigorous,日:玉,,,
欧,112,Europe,丶:丿:匚:欠,,,
