num,kanji,radicals,meaning,theme,subtheme
1,亜,｜:口,Asia:rank next:come after:-ous,,
2,哀,亠:口:衣,sadness or pity,Emotions_and_Senses,Emotions
3,挨,厶:矢:扌,approach:draw near:push open,,
4,愛,冖:夂:心:爪,love,Emotions_and_Senses,Emotions
5,曖,冖:夂:心:日:爪,dark:not clear,,
6,悪,｜:口:心,bad,Emotions_and_Senses,Judgment
7,握,厶:土:尸:至:扌,grip:hold:mould sushi:bribe,,
8,圧,厂:土,pressure:push:overwhelm:oppress:dominate,,
9,扱,扌:及,handle:entertain:thresh:strip,,
10,宛,卩:夕:宀,address:just like:fortunately,,
11,嵐,山:風,storm,Nature,Weather
12,安,女:宀,cheap,Human_activities,Money_and_Commerce
13,案,女:宀:木,plan:suggestion:draft:ponder:fear:proposition:idea:expectation:worry:table:bench,,
14,暗,日:立:音,dark,Nature,Weather
15,以,｜:丶:人,by means of:because:in view of:compared with,,
16,衣,亠,garment,Artificial_Structures_and_Products,Clothing_and_Textiles
17,位,立:亻,rank:grade:throne:crown:about:some,,
18,囲,囗:井,surround:besiege:store:paling:enclosure:encircle:preserve:keep,,
19,医,匚:矢,doctor or medicine,Body,Health
20,依,亠:衣:亻,reliant:depend on:consequently:therefore:due to,,
21,委,女:禾,committee:entrust to:leave to:devote:discard,,
22,威,丿:厂:女:戈,intimidate:dignity:majesty:menace:threaten,,
23,為,丿:灬,do:change:make:benefit:welfare:be of use:reach to:try:practice:cost:serve as:good:advantage:as a result of,,
24,畏,田:衣,apprehension,Emotions_and_Senses,Emotions
25,胃,月:田,stomach,Body,Torso_and_organs
26,尉,寸:尸:示,military officer:jailer:old man:rank,,
27,異,八:田:井,uncommon:different:queerness:strangeness:wonderful:curious:unusual,,
28,移,夕:禾,shift:move:change:drift:catch cold:catch fire:pass into,,
29,萎,女:禾:艹,wither:droop:lame,,
30,偉,口:韋:亻,admirable:greatness:remarkable:conceited:famous:excellent,,
31,椅,亅:口:大:木,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
32,彙,冖:彐:木:田:彑,same kind:collect:classify:category:hedgehog,,
33,意,心:日:立:音,idea:mind:heart:taste:thought:desire:care:liking,,
34,違,口:韋:辶,difference:differ,,
35,維,糸:隹,fibre,Artificial_Structures_and_Products,Clothing_and_Textiles
36,慰,寸:尸:心:示,consolation:amusement:seduce:cheer:make sport of:comfort:console,,
37,遺,口:貝:辶,bequeath:leave behind:reserve,,
38,緯,口:糸:韋,horizontal:woof:left & right:(parallels of) latitude:prediction,,
39,域,口:土:戈,range:region:limits:stage:level,,
40,育,亠:厶:月,bring up:grow up:raise:rear,,
41,一,,1,Numbers,
42,壱,冖:匕:士,one (in documents),,
43,逸,丿:儿:勹:辶:免,deviate:idleness:leisure:miss the mark:evade:elude:parry:diverge,,
44,茨,冫:欠:艹,brier,Nature,Plants_and_Trees
45,芋,干:艹,potato,Food_and_Drink,
46,引,｜:弓,pull:tug:jerk:admit:install:quote:refer to,,
47,印,｜:卩,stamp:seal:mark:imprint:symbol:emblem:trademark:evidence:souvenir:India,,
48,因,囗:大,cause:factor:be associated with:depend on:be limited to,,
49,咽,口:囗:大,throat,Body,Head_and_Neck
