kanji,radical_list
亜,｜口
唖,｜口刂
逢,｜二夂辶
悪,｜口心
以,｜丶人
伊,｜彐亻
井,｜丿二
稲,｜日爪禾
印,｜卩
引,｜弓
鵜,｜丿弓鳥丷灬
丑,｜丿
渦,｜冂口氵
焔,｜勹日火
艶,｜勹口日色豆丷
押,｜日田扌
横,｜二八廾日木田黄
沖,｜口氵
下,｜卜
果,｜木田
華,｜艹
嘩,｜口艹
柿,｜亠冂巾木
角,｜勹月
樺,｜木艹
鴨,｜日田鳥灬
患,｜口心
諌,｜日木田言
陥,｜勹日阝.
貴,｜口貝
糾,｜十糸
旧,｜日
供,｜二八亻
叫,｜十口
業,｜木玉羊耒丷
曲,｜日
巾,｜冂
串,｜口
屈,｜尸山
掘,｜尸山扌
窟,｜儿宀尸山穴
勲,｜丿力日田灬
薫,｜丿日艹灬
慧,｜彐心
継,｜米糸
兼,｜八彐丷
嫌,｜八女彐丷
研,｜丿亅口廾石
謙,｜八彐言丷
遣,｜口辶
碁,｜二八口石
候,｜矢亻
洪,｜二八氵
甲,｜日田
耕,｜亅八土木耒井
購,｜冂十貝
坤,｜土日田
詐,｜丿言
坐,｜人入土
座,｜入土广
挫,｜入土扌
再,｜冂玉
妻,｜女彐
済,｜丿廾文齊氵
犀,｜丿二十尸
斎,｜丿廾文示齊
剤,｜丿廾文齊刂
在,｜丿土
榊,｜日木田礻
崎,｜口大山
埼,｜口土大
碕,｜口大石
作,｜丿亻
咋,｜丿口
搾,｜丿儿宀穴扌
昨,｜丿日
柵,｜亅冂木冊
窄,｜丿儿宀穴
策,｜亅八冂巾木竹
錯,｜日金
冊,｜亅冂廾
撒,｜夂攴月扌
散,｜攴月
珊,｜亅冂玉冊
刺,｜亅八冂巾木刂
嗣,｜亅冂口
師,｜口巾
獅,｜口巾犭
児,｜儿日
爾,｜八冂爻
璽,｜八冂爻玉
軸,｜日田車
雫,｜丶雨
湿,｜日氵
篠,｜攴木竹亻
朱,｜丿二八木牛
殊,｜丿二八木歹牛
珠,｜丿二八木牛玉
種,｜日禾里
腫,｜日月里
収,｜又
州,｜丶巛
修,｜彡攴亻
洲,｜丶巛氵
繍,｜丿彐水糸隶
酬,｜丶巛酉
重,｜丿日里
粛,｜丿彐水米隶
出,｜山
衝,｜彳日行里
鍾,｜日里金
乗,｜丿八禾
剰,｜丿刂
伸,｜日田亻
申,｜日田
神,｜日田礻
紳,｜日田糸
酢,｜丿酉
垂,｜丿
帥,｜口巾
睡,｜丿目
錘,｜丿金
菅,｜口宀艹
世,｜
瀬,｜貝頁氵
整,｜口攴木止
斉,｜丿廾文
惜,｜二日忄
昔,｜二日
籍,｜亠八土日木竹耒
拙,｜山扌
撰,｜二八己扌
選,｜二八己辶
岨,｜山目
措,｜二日扌
狙,｜目犭
疎,｜口木止疋
祖,｜目礻
租,｜目禾
粗,｜目米
組,｜目糸
阻,｜目阝.
喪,｜口衣
奏,｜丿二大禾
捜,｜又日田扌
挿,｜丿十日田扌
曹,｜日
槽,｜日木
漕,｜日氵
糟,｜日米
遭,｜日辶
束,｜八口木
速,｜八口木辶
袖,｜田衤
存,｜丿子
唾,｜丿口
帯,｜冖巾
戴,｜二八土戈田
泰,｜丿二水
凧,｜冂几巾
巽,｜二八己
湛,｜儿匚甘氵
断,｜斤米
段,｜殳
値,｜十目亻
中,｜口
仲,｜口亻
宙,｜宀日田
忠,｜口心
抽,｜日田扌
弔,｜弓
暢,｜日田勿
勅,｜力口木
直,｜十目
陳,｜日木田阝.
槌,｜口木辶
追,｜口辶
鎚,｜口金辶
壷,｜冖口士
紬,｜日田糸
剃,｜丿弓丷刂
弟,｜丿弓丷
悌,｜丿弓丷忄
梯,｜丿弓木丷
逓,｜二厂巾辶
鼎,｜爿片目
笛,｜日田竹
迭,｜丿大牛矢辶
典,｜八日
展,｜二尸衣
殿,｜二八尸殳
澱,｜二八尸殳氵
兎,｜丶丿儿口
菟,｜丶儿勹口艹
凍,｜冫日木田
唐,｜口广彐
塘,｜口土广彐
東,｜日木田
棟,｜日木田
湯,｜日氵勿
董,｜日里艹
蕩,｜日氵艹勿
藤,｜月水艹
謄,｜月言
働,｜力日亻
動,｜力日里
峠,｜卜山
橡,｜勹口木豕
凸,｜冂凵
届,｜尸日田
乍,｜丿
廿,｜凵
禰,｜冂爻礻
念,｜心个
捻,｜心个扌
乃,｜丿
嚢,｜亠八冖口衣
