kanji,num,meaning,radicals,kanji_in_concept_meaning,h2_concept,h3_concept
亜,1,sub-,｜口,,,
哀,2,pathetic,亠口衣,sadness or pity,Emotions_and_Senses_(感),Emotions_(情)
挨,3,push open,厶矢扌,,,
愛,4,love,冖夂心爪,love,Emotions_and_Senses_(感),Emotions_(情)
曖,5,not clear,冖夂心日爪,,,
悪,6,bad,｜口心,bad,Emotions_and_Senses_(感),Judgment_(評)
握,7,grip,厶土尸至扌,,,
圧,8,pressure,厂土,,,
扱,9,handle,扌及,,,
宛,10,allocate,卩夕宀,,,
嵐,11,storm,山風,storm,Nature,Weather
安,12,cheap,女宀,cheap,Human_activities,Money_(銭)_and_Commerce_(商)
案,13,plan,女宀木,,,
暗,14,dark,日立音,dark,Nature,Weather
以,15,by means of,｜丶人,,,
衣,16,clothes,亠,garment,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
位,17,rank,立亻,,,
囲,18,surround,囗井,,,
医,19,medicine,匚矢,doctor or medicine,Body_(身),Health_(体)
依,20,reliant,亠衣亻,,,
委,21,committee,女禾,,,
威,22,intimidate,丿厂女戈,,,
為,23,do,丿灬,,,
畏,24,fear,田衣,apprehension,Emotions_and_Senses_(感),Emotions_(情)
胃,25,stomach,月田,stomach,Body_(身),Torso_and_organs
尉,26,military officer,寸尸示,,,
異,27,uncommon,八田井,,,
移,28,shift,夕禾,,,
萎,29,wither,女禾艹,,,
偉,30,admirable,口韋亻,,,
椅,31,chair,亅口大木,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
彙,32,same kind,冖彐木田彑,,,
意,33,idea,心日立音,,,
違,34,differ,口韋辶,,,
維,35,fiber,糸隹,fibre,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
慰,36,consolation,寸尸心示,,,
遺,37,bequeath,口貝辶,,,
緯,38,horizontal,口糸韋,,,
域,39,range,口土戈,,,
育,40,nurture,亠厶月,,,
一,41,one,,1,Numbers_(数),
壱,42,one (falsification prevention),冖匕士,,,
逸,43,deviate,丿儿勹辶免,,,
茨,44,thorn,冫欠艹,brier,Nature,Plants_(植)_and_Trees_(樹)
芋,45,potato,干艹,potato,Food_(食)_and_Drink_(飲),
引,46,pull,｜弓,,,
印,47,mark,｜卩,,,
因,48,cause,囗大,,,
咽,49,throat,口囗大,throat,Body_(身),Head_(頭)_and_Neck_(首)
姻,50,matrimony,囗大女,matrimony,People_(人),Family_(家_/_族)
員,51,member,口貝,,,
院,52,institution,二儿宀阝.元,,,
淫,53,lewdness,丿士爪玉氵,,,
陰,54,shade,二厶个阝.,Yin principle,Human_activities,Religion_(宗)_and_the_Supernatural_World
飲,55,drink,欠食,,,
隠,56,conceal,丿彐心尚阝.,,,
韻,57,rhyme,口日立貝音,,,
右,58,right (direction),丿口,right,Directions_(方)_and_Spatial_Relationships,
宇,59,eaves,亅宀干,universe,Nature,Sky
羽,60,feather,冫,feather,Nature,Animals_(獣)
雨,61,rain,,rain,Nature,Weather
唄,62,song,口貝,song,Human_activities,Culture
鬱,63,gloom,冖凵匕彡木缶,melancholy,Emotions_and_Senses_(感),Emotions_(情)
畝,64,furrow,亠田久,30 tsubo (99 m2),Numbers_(数),Units_of_Measurement_(測)
浦,65,bay,丶十用氵,beach,Nature,Land_(陸)_and_Topography
運,66,carry,冖車辶,,,
雲,67,cloud,二厶雨,cloud,Nature,Weather
永,68,eternity,丶水,eternity,Time_(時),
泳,69,swim,丶水氵,swim,Body_(身),Actions
英,70,England,丿大艹,,,
映,71,reflect,丿大日,,,
栄,72,prosperity,冖木尚,,,
営,73,manage,冖口尚,management,Human_activities,Money_(銭)_and_Commerce_(商)
詠,74,recitation,丶水言,recite poetry,Human_activities,Culture
影,75,shadow,亠口小彡日,shadow,Nature,Weather
鋭,76,pointed,儿口金个丷,sharp,Physical_Attributes_and_Properties,Miscellaneous_properties
衛,77,defense,口彳行韋,,,
易,78,easy,勹日勿,,,
疫,79,epidemic,殳疒,epidemic,Body_(身),Health_(体)
益,80,benefit,八皿丷,,,
液,81,fluid,亠夕攴亻氵,liquid,Physical_Attributes_and_Properties,Miscellaneous_properties
駅,82,station,尸馬,,,
悦,83,ecstasy,儿口丷忄,ecstasy,Emotions_and_Senses_(感),Emotions_(情)
越,84,cross over,土戈走,to pass or go beyond,Directions_(方)_and_Spatial_Relationships,Movement
謁,85,audience,勹匕日言,,,
閲,86,review,儿口門丷,,,
円,87,"round, yen",亠冂,yen,Human_activities,Money_(銭)_and_Commerce_(商)
延,88,prolong,廴止,,,
沿,89,run alongside,八口氵,,,
炎,90,inflammation,火,blaze or flame,Nature,Weather
怨,91,grudge,卩夕心,resentment,Emotions_and_Senses_(感),Emotions_(情)
宴,92,banquet,女宀日,,,
媛,93,princess,丿又女爪,princess,People_(人),Roles_and_status
援,94,aid,丿又爪扌,,,
園,95,garden,口囗土衣,,,
煙,96,smoke,土火襾,fumes or smoke,Nature,Weather
猿,97,monkey,口土衣犭,monkey,Nature,Animals_(獣)
遠,98,far,口土衣辶,distant,Directions_(方)_and_Spatial_Relationships,
鉛,99,lead,八口金丷,lead,Nature,Natural_Substances
塩,100,salt,口土皿,salt,Nature,Natural_Substances
演,101,perform,八宀田氵,,,
縁,102,affinity,彐糸豕,edge or border,Physical_Attributes_and_Properties,Form_and_Shape_(形)
艶,103,glossy,｜勹口日色豆丷,glossy,Physical_Attributes_and_Properties,Miscellaneous_properties
汚,104,dirty,氵,dirty,Physical_Attributes_and_Properties,Miscellaneous_properties
王,105,king,,king,People_(人),Roles_and_status
凹,106,concave,凵,concave,Physical_Attributes_and_Properties,Form_and_Shape_(形)
央,107,center,丿冖大,Centre,Directions_(方)_and_Spatial_Relationships,
応,108,respond,广心,,,
往,109,outward journey,丶彳玉,to go to,Directions_(方)_and_Spatial_Relationships,Movement
押,110,push,｜日田扌,,,
旺,111,flourishing,日玉,,,
欧,112,Europe,丶丿匚欠,,,
殴,113,assault,丶丿匚殳,"beat, assault",Human_activities,War_(戦)
桜,114,cherry tree,女木尚,sakura,Nature,Plants_(植)_and_Trees_(樹)
翁,115,venerable old man,八冫厶羽,old man,People_(人),General
奥,116,heart,冂大米,interior,Directions_(方)_and_Spatial_Relationships,
横,117,side,｜二八廾日木田黄,,,
岡,118,hill,冂山丷,hill,Nature,Land_(陸)_and_Topography
屋,119,roof,厶土尸至,,,
億,120,hundred million,心日立音亻,"100,000,000",Numbers_(数),
憶,121,recollection,心日立音忄,,,
臆,122,timidity,心日月立音,,,
虞,123,uneasiness,八匕卜厂口虍,fear,Emotions_and_Senses_(感),Emotions_(情)
乙,124,the latter,,second,Numbers_(数),Counting_(計)_&_Sequence_(序)
俺,125,"I, we",乙大亻奄,I or me,People_(人),General
卸,126,wholesale,丿卩止,wholesale,Human_activities,Money_(銭)_and_Commerce_(商)
音,127,sound,日立,sound,Emotions_and_Senses_(感),Senses
恩,128,grace,囗大心,,,
温,129,warm,日皿氵,warm,Physical_Attributes_and_Properties,Miscellaneous_properties
穏,130,calm,彐心爪禾,,,
下,131,below,｜卜,down,Directions_(方)_and_Spatial_Relationships,
化,132,change,匕亻,,,
火,133,fire,,fire,Nature,Weather
加,134,add,力口,to add,Numbers_(数),Calculations_(算)
可,135,possible,亅口,,,
仮,136,temporary,厂又亻,,,
何,137,what,亅口亻,,,
花,138,flower,匕亻艹,flower,Nature,Plants_(植)_and_Trees_(樹)
佳,139,excellent,土亻,,,
価,140,value,襾亻,price,Human_activities,Money_(銭)_and_Commerce_(商)
果,141,fruit,｜木田,fruit,Food_(食)_and_Drink_(飲),
河,142,river,亅口氵,stream,Nature,Land_(陸)_and_Topography
苛,143,torment,亅口艹,,,
科,144,section,斗禾,faculty,Human_activities,Culture
架,145,rack,力口木,,,
夏,146,summer,夂自,Summer,Time_(時),Seasons_(季_/_候)
家,147,house,宀豕,,,
荷,148,luggage,亅口亻艹,,,
華,149,splendor,｜艹,,,
菓,150,confectionery,木田艹,confectionery,Food_(食)_and_Drink_(飲),
貨,151,freight,匕貝亻,goods or property,Human_activities,Money_(銭)_and_Commerce_(商)
渦,152,whirlpool,｜冂口氵,whirlpool,Nature,Weather
過,153,go beyond,冂口辶,,,
嫁,154,marry into,女宀豕,"wife, bride",People_(人),Family_(家_/_族)
暇,155,spare time,又日,,,
禍,156,calamity,冂口礻,,,
靴,157,shoes,匕革亻,shoes,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
寡,158,widow,八刀宀自,widow,People_(人),Family_(家_/_族)
歌,159,song,亅口欠,song,Human_activities,Culture
箇,160,counters for things,十口囗竹,counter for articles,Numbers_(数),Counters_(個)
