num,kanji,radicals,meaning,theme,subtheme
1,亜,｜口,Asia:rank next:come after:-ous,,
2,哀,亠口衣,sadness or pity,Emotions_and_Senses,Emotions
3,挨,厶矢扌,approach:draw near:push open,,
4,愛,冖夂心爪,love,Emotions_and_Senses,Emotions
5,曖,冖夂心日爪,dark:not clear,,
6,悪,｜口心,bad,Emotions_and_Senses,Judgment
7,握,厶土尸至扌,grip:hold:mould sushi:bribe,,
8,圧,厂土,pressure:push:overwhelm:oppress:dominate,,
9,扱,扌及,handle:entertain:thresh:strip,,
10,宛,卩夕宀,address:just like:fortunately,,
11,嵐,山風,storm,Nature,Weather
12,安,女宀,cheap,Human_activities,Money_and_Commerce
13,案,女宀木,plan:suggestion:draft:ponder:fear:proposition:idea:expectation:worry:table:bench,,
14,暗,日立音,dark,Nature,Weather
15,以,｜丶人,by means of:because:in view of:compared with,,
16,衣,亠,garment,Artificial_Structures_and_Products,Clothing_and_Textiles
17,位,立亻,rank:grade:throne:crown:about:some,,
18,囲,囗井,surround:besiege:store:paling:enclosure:encircle:preserve:keep,,
19,医,匚矢,doctor or medicine,Body,Health
20,依,亠衣亻,reliant:depend on:consequently:therefore:due to,,
21,委,女禾,committee:entrust to:leave to:devote:discard,,
22,威,丿厂女戈,intimidate:dignity:majesty:menace:threaten,,
23,為,丿灬,do:change:make:benefit:welfare:be of use:reach to:try:practice:cost:serve as:good:advantage:as a result of,,
24,畏,田衣,apprehension,Emotions_and_Senses,Emotions
25,胃,月田,stomach,Body,Torso_and_organs
26,尉,寸尸示,military officer:jailer:old man:rank,,
27,異,八田井,uncommon:different:queerness:strangeness:wonderful:curious:unusual,,
28,移,夕禾,"shift:move:change:drift:catch (cold, fire):pass into",,
29,萎,女禾艹,wither:droop:lame,,
30,偉,口韋亻,admirable:greatness:remarkable:conceited:famous:excellent,,
31,椅,亅口大木,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
32,彙,冖彐木田彑,same kind:collect:classify:category:hedgehog,,
33,意,心日立音,idea:mind:heart:taste:thought:desire:care:liking,,
34,違,口韋辶,difference:differ,,
35,維,糸隹,fibre,Artificial_Structures_and_Products,Clothing_and_Textiles
36,慰,寸尸心示,consolation:amusement:seduce:cheer:make sport of:comfort:console,,
37,遺,口貝辶,bequeath:leave behind:reserve,,
38,緯,口糸韋,horizontal:woof:left & right:(parallels of) latitude:prediction,,
39,域,口土戈,range:region:limits:stage:level,,
40,育,亠厶月,bring up:grow up:raise:rear,,
41,一,,1,Numbers,
42,壱,冖匕士,one (in documents),,
43,逸,丿儿勹辶免,deviate:idleness:leisure:miss the mark:evade:elude:parry:diverge,,
44,茨,冫欠艹,brier,Nature,Plants_and_Trees
45,芋,干艹,potato,Food_and_Drink,
46,引,｜弓,pull:tug:jerk:admit:install:quote:refer to,,
47,印,｜卩,stamp:seal:mark:imprint:symbol:emblem:trademark:evidence:souvenir:India,,
48,因,囗大,cause:factor:be associated with:depend on:be limited to,,
49,咽,口囗大,throat,Body,Head_and_Neck
50,姻,囗大女,matrimony,People,Family
51,員,口貝,employee:member:number:the one in charge,,
52,院,二儿宀阝元,Inst.:institution:temple:mansion:school,,
