kanji,radicals
亜,｜:口
唖,｜:口:刂
逢,｜:二:夂:辶
悪,｜:口:心
以,｜:丶:人
伊,｜:彐:亻
井,｜:丿:二
稲,｜:日:爪:禾
印,｜:卩
引,｜:弓
鵜,｜:丿:弓:鳥:丷:灬
丑,｜:丿
渦,｜:冂:口:氵
焔,｜:勹:日:火
艶,｜:勹:口:日:色:豆:丷
押,｜:日:田:扌
横,｜:二:八:廾:日:木:田:黄
沖,｜:口:氵
下,｜:卜
果,｜:木:田
華,｜:艹
嘩,｜:口:艹
柿,｜:亠:冂:巾:木
角,｜:勹:月
樺,｜:木:艹
鴨,｜:日:田:鳥:灬
患,｜:口:心
諌,｜:日:木:田:言
陥,｜:勹:日:阝.
貴,｜:口:貝
糾,｜:十:糸
旧,｜:日
供,｜:二:八:亻
叫,｜:十:口
業,｜:木:玉:羊:耒:丷
曲,｜:日
巾,｜:冂
串,｜:口
屈,｜:尸:山
掘,｜:尸:山:扌
窟,｜:儿:宀:尸:山:穴
勲,｜:丿:力:日:田:灬
薫,｜:丿:日:艹:灬
慧,｜:彐:心
継,｜:米:糸
兼,｜:八:彐:丷
嫌,｜:八:女:彐:丷
研,｜:丿:亅:口:廾:石
謙,｜:八:彐:言:丷
遣,｜:口:辶
碁,｜:二:八:口:石
候,｜:矢:亻
洪,｜:二:八:氵
甲,｜:日:田
耕,｜:亅:八:土:木:耒:井
購,｜:冂:十:貝
坤,｜:土:日:田
詐,｜:丿:言
坐,｜:人:入:土
座,｜:入:土:广
挫,｜:入:土:扌
再,｜:冂:玉
妻,｜:女:彐
済,｜:丿:廾:文:齊:氵
犀,｜:丿:二:十:尸
斎,｜:丿:廾:文:示:齊
剤,｜:丿:廾:文:齊:刂
在,｜:丿:土
榊,｜:日:木:田:礻
崎,｜:口:大:山
埼,｜:口:土:大
碕,｜:口:大:石
作,｜:丿:亻
咋,｜:丿:口
搾,｜:丿:儿:宀:穴:扌
昨,｜:丿:日
柵,｜:亅:冂:木:冊
窄,｜:丿:儿:宀:穴
策,｜:亅:八:冂:巾:木:竹
錯,｜:日:金
冊,｜:亅:冂:廾
撒,｜:夂:攴:月:扌
散,｜:攴:月
珊,｜:亅:冂:玉:冊
刺,｜:亅:八:冂:巾:木:刂
嗣,｜:亅:冂:口
師,｜:口:巾
獅,｜:口:巾:犭
児,｜:儿:日
爾,｜:八:冂:爻
璽,｜:八:冂:爻:玉
軸,｜:日:田:車
雫,｜:丶:雨
湿,｜:日:氵
篠,｜:攴:木:竹:亻
朱,｜:丿:二:八:木:牛
殊,｜:丿:二:八:木:歹:牛
珠,｜:丿:二:八:木:牛:玉
種,｜:日:禾:里
腫,｜:日:月:里
収,｜:又
州,｜:丶:巛
修,｜:彡:攴:亻
洲,｜:丶:巛:氵
繍,｜:丿:彐:水:糸:隶
酬,｜:丶:巛:酉
重,｜:丿:日:里
粛,｜:丿:彐:水:米:隶
出,｜:山
衝,｜:彳:日:行:里
鍾,｜:日:里:金
乗,｜:丿:八:禾
剰,｜:丿:刂
伸,｜:日:田:亻
申,｜:日:田
神,｜:日:田:礻
紳,｜:日:田:糸
酢,｜:丿:酉
垂,｜:丿
帥,｜:口:巾
睡,｜:丿:目
錘,｜:丿:金
菅,｜:口:宀:艹
世,｜
瀬,｜:貝:頁:氵
整,｜:口:攴:木:止
斉,｜:丿:廾:文
惜,｜:二:日:忄
昔,｜:二:日
籍,｜:亠:八:土:日:木:竹:耒
拙,｜:山:扌
撰,｜:二:八:己:扌
選,｜:二:八:己:辶
岨,｜:山:目
措,｜:二:日:扌
狙,｜:目:犭
疎,｜:口:木:止:疋
祖,｜:目:礻
租,｜:目:禾
粗,｜:目:米
組,｜:目:糸
阻,｜:目:阝.
喪,｜:口:衣
奏,｜:丿:二:大:禾
捜,｜:又:日:田:扌
挿,｜:丿:十:日:田:扌
曹,｜:日
槽,｜:日:木
漕,｜:日:氵
糟,｜:日:米
遭,｜:日:辶
束,｜:八:口:木
速,｜:八:口:木:辶
袖,｜:田:衤
存,｜:丿:子
唾,｜:丿:口
帯,｜:冖:巾
戴,｜:二:八:土:戈:田
泰,｜:丿:二:水
凧,｜:冂:几:巾
巽,｜:二:八:己
湛,｜:儿:匚:甘:氵
断,｜:斤:米
段,｜:殳
値,｜:十:目:亻
中,｜:口
仲,｜:口:亻
宙,｜:宀:日:田
忠,｜:口:心
抽,｜:日:田:扌
