kanji,meanings
亜,Asia:rank next:come after:-ous
唖,mute:dumb
逢,meeting:tryst:date:rendezvous
悪,bad:vice:rascal:false:evil:wrong
以,by means of:because:in view of:compared with
伊,Italy:that one
井,well:well crib:town:community
稲,rice plant
印,stamp:seal:mark:imprint:symbol:emblem:trademark:evidence:souvenir:India
引,pull:tug:jerk:admit:install:quote:refer to
鵜,cormorant
丑,sign of the ox or cow:1-3AM:second sign of Chinese zodiac
渦,whirlpool:eddy:vortex
焔,flame:blaze
艶,glossy:luster:glaze:polish:charm:colorful:captivating
押,push:stop:check:subdue:attach:seize:weight:shove:press:seal:do in spite of
横,sideways:side:horizontal:width:woof:unreasonable:perverse
沖,open sea:offing:rise high into sky
下,below:down:descend:give:low:inferior
果,fruit:reward:carry out:achieve:complete:end:finish:succeed
華,splendor:flower:petal:shine:luster:ostentatious:showy:gay:gorgeous
嘩,noisy
柿,persimmon
角,angle:corner:square:horn:antlers
樺,birch:dark red
鴨,wild duck:easy mark
患,afflicted:disease:suffer from:be ill
諌,admonish:dissuade
陥,collapse:fall into:cave in:fall (castle):slide into
貴,precious:value:prize:esteem:honor
糾,twist:ask:investigate:verify
旧,old times:old things:old friend:former:ex-
供,submit:offer:present:serve (meal):accompany
叫,shout:exclaim:yell
業,business:vocation:arts:performance
曲,bend:music:melody:composition:pleasure:injustice:fault:curve:crooked:perverse:lean
巾,towel:hanging scroll:width:cloth radical (no. 50)
串,spit:skewer
屈,yield:bend:flinch:submit
掘,dig:delve:excavate
窟,cavern
勲,meritorious deed:merit
薫,send forth fragrance:fragrant:be scented:smoke (tobacco)
慧,wise
継,inherit:succeed:continue:patch:graft (tree)
兼,concurrently:and:beforehand:in advance
嫌,dislike:detest:hate
研,polish:study of:sharpen
謙,self-effacing:humble oneself:condescend:be modest
遣,dispatch:despatch:send:give:donate:do:undertake
碁,Go
候,climate:season:weather:wait for:expect
洪,deluge:flood:vast
甲,armor:high (voice):A grade:first class:former:instep:carapace
耕,till:plow:cultivate
購,subscription:buy
坤,divination sign:land:earth
詐,lie:falsehood:deceive:pretend
坐,sit
座,squat:seat:cushion:gathering:sit
挫,crush:break:sprain:discourage
再,again:twice:second time
妻,wife:spouse
済,settle (debt, etc.):relieve (burden):finish:come to an end:excusable:need not
犀,rhinocerous
斎,purification:Buddhist food:room:worship:avoid:alike
剤,dose:medicine:drug
在,exist:outskirts:suburbs:located in
榊,sacred Shinto tree:(kokuji)
崎,promontory:cape:spit
埼,cape:spit:promontory
碕,cape:spit:promontory
作,make:production:prepare:build
咋,shout:chew:eat
搾,squeeze
昨,yesterday:previous
柵,stockade:fence:weir:entwine around
窄,narrow:fold:furl:shrug:pucker:shut:close
策,scheme:plan:policy:step:means
錯,confused:mix:be in disorder
冊,tome:counter for books:volume
撒,scatter:sprinkle:give them the slip
散,scatter:disperse:spend:squander
珊,coral:centimeter
刺,thorn:pierce:stab:prick:sting:calling card
嗣,heir:succeed
師,expert:teacher:master:model:exemplar:army (incl. counter):war
獅,lion
児,newborn babe:child:young of animals
爾,you:thou:second person
璽,emperor's seal
軸,axis:pivot:stem:stalk:counter for book scrolls
雫,drop:trickle:dripping:(kokuji)
湿,damp:wet:moist
篠,bamboo grass
朱,vermilion:cinnabar:scarlet:red:bloody
殊,particularly:especially:exceptionally
珠,pearl:gem:jewel
種,species:kind:class:variety:seed
腫,tumor:swelling
収,income:obtain:reap:pay:supply:store
州,state:province
修,discipline:conduct oneself well:study:master
洲,continent:sandbar:island:country
繍,sew:figured cloth
酬,repay:reward:retribution
重,heavy:important:esteem:respect:heap up:pile up:nest of boxes:-fold
粛,solemn:quietly:softly
出,exit:leave:go out:come out:put out:protrude
衝,collide:brunt:highway:opposition (astronomy):thrust:pierce:stab:prick
鍾,spindle:gather:collect
乗,ride:power:multiplication:record:counter for vehicles:board:mount:join
剰,surplus:besides
伸,expand:stretch:extend:lengthen:increase
申,have the honor to:sign of the monkey:3-5PM:ninth sign of Chinese zodiac
神,gods:mind:soul
紳,sire:good belt:gentleman
酢,vinegar:sour:acid:tart
垂,droop:suspend:hang:slouch
帥,commander:leading troops:governor
睡,drowsy:sleep:die
錘,weight:plumb bob:sinker:spindle
菅,sedge
世,generation:world:society:public
瀬,rapids:current:torrent:shallows:shoal
整,organize:arranging:tune:tone:meter:key (music)
斉,adjusted:alike:equal:similar variety of
惜,pity:be sparing of:frugal:stingy:regret
昔,once upon a time:antiquity:old times
籍,enroll:domiciliary register:membership
拙,bungling:clumsy:unskillful
撰,composing:editing:compiling:selecting
選,elect:select:choose:prefer
岨,a rocky mountain
措,set aside:give up:suspend:discontinue:lay aside:except
狙,aim at:sight:shadow:stalk
疎,alienate:rough:neglect:shun:sparse:penetrate
祖,ancestor:pioneer:founder
租,tariff:crop tax:borrowing
粗,coarse:rough:rugged
組,association:braid:plait:construct:assemble:unite:cooperate:grapple
阻,thwart:separate from:prevent:obstruct:deter:impede
喪,miss:mourning
奏,play music:speak to a ruler:complete
捜,search:look for:locate
挿,insert:put in:graft:wear (sword)
曹,office:official:comrade:fellow
槽,vat:tub:tank
漕,rowing:scull:paddle
糟,dregs:sediment:grounds
遭,encounter:meet:party:association:interview:join
束,bundle:sheaf:ream:tie in bundles:govern:manage:control
速,quick:fast
袖,sleeve:wing (building):extension:give cold shoulder
存,exist:suppose:be aware of:believe:feel
唾,saliva:sputum
帯,sash:belt:obi:zone:region
戴,be crowned with:live under (a ruler):receive
泰,peaceful:calm:peace:easy:Thailand:extreme:excessive:great
凧,kite:(kokuji)
巽,southeast
湛,fill:wear (a smile):clear:pure:dense:deep
断,severance:decline:refuse:apologize:warn:dismiss:prohibit:decision:judgement:cutting
段,grade:steps:stairs
値,price:cost:value
中,in:inside:middle:mean:center
仲,go-between:relationship
宙,mid-air:air:space:sky:memorization:interval of time
忠,loyalty:fidelity:faithfulness
抽,pluck:pull:extract:excel
弔,condolences:mourning:funeral
暢,stretch
勅,imperial order
直,straightaway:honesty:frankness:fix:repair
陳,exhibit:state:relate:explain
槌,hammer:mallet
追,chase:drive away:follow:pursue:meanwhile
鎚,hammer:mallet
壷,jar:pot:hinge knuckle:one's aim
紬,pongee (a knotted silk cloth)
剃,shave
弟,younger brother:faithful service to elders
悌,serving our elders
梯,ladder:stairs:insatiable drinking
逓,relay:in turn:sending
鼎,three legged kettle
笛,flute:clarinet:pipe:whistle:bagpipe:piccolo
迭,transfer:alternation
典,code:ceremony:law:rule
展,unfold:expand
殿,Mr.:hall:mansion:palace:temple:lord
澱,sediment:grounds:dregs:stagnant
兎,rabbit:hare
菟,dodder (plant)
凍,frozen:congeal:refrigerate
唐,T'ang:China:foreign
塘,dike:embankment
東,east
棟,ridgepole:ridge
湯,hot water:bath:hot spring
董,correct
蕩,melt:be charmed:captivated
藤,wisteria
謄,mimeograph:copy
働,work:(kokuji)
動,move:motion:change:confusion:shift:shake
峠,mountain peak:mountain pass:climax:crest:(kokuji)
橡,horse chestnut
凸,convex:beetle brow:uneven
届,deliver:reach:arrive:report:notify:forward
乍,though:notwithstanding:while:during:both:all
廿,twenty
禰,ancestral shrine
念,wish:sense:idea:thought:feeling:desire:attention
捻,twirl:twist:play with
乃,from:possessive particle:whereupon:accordingly
嚢,pouch:purse:bag
濃,concentrated:thick:dark:undiluted
膿,pus:fester:discharge
農,agriculture:farmers
拝,worship:adore:pray to
杯,counter for cupfuls:wine glass:glass:toast
矧,feather (arrow)
曝,bleach:refine:expose:air
爆,bomb:burst open:pop:split
伴,consort:accompany:bring with:companion
判,judgement:signature:stamp:seal
半,half:middle:odd number:semi-:part-
畔,paddy ridge:levee
挽,saw:turn (lathe):grind
費,expense:cost:spend:consume:waste
眉,eyebrow
畢,the end:finish
紐,string:cord:braid:lace:tape:strap:ribbon
評,evaluate:criticism:comment
不,negative:non-:bad:ugly:clumsy
埠,wharf
普,universal:wide(ly):generally:Prussia
